web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144725-6725,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/cafe-de-paris-mousseux-litchi/p/3393062,Café de Paris Mousseux Litchi,2022-2025,Frankreich,null,null,Assemblage de cépages,null,6.70%,75cl,7.65
1671144728-6727,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/cafe-de-paris-ice/p/6971293,Café de Paris Ice,2022-2025,Frankreich,null,null,Assemblage de cépages,null,11.00%,75cl,8.95
1671144731-6729,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/cafe-de-paris-hugo-holunderbluete/p/4565490,Café de Paris Hugo Holunderblüte,2022-2025,Frankreich,null,null,Assemblage de cépages,null,7.50%,75cl,7.65
1671144734-6731,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/cafe-de-paris-fruits-litchi/p/4147282,Café de Paris Fruits Litchi,2022-2025,Frankreich,null,null,aperitif,null,6.70%,60cl,12.45
1671144737-6733,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/brivio-svizzera-igt-spumante-brut/p/4959178,Brivio Svizzera IGT Spumante Brut,2022-2025,Schweiz,übrige Schweiz,null,"Merlot, Pinot Bianco",null,12.50%,75cl,11.95
1671144740-6736,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/baron-de-schiele-cremant-d-alsace-aop-brut/p/3170157,Baron de Schielé Crémant d'Alsace AOP brut,2022-2025,Frankreich,Elsass,null,"Auxerrois, 
                                Chardonnay, 
                                Pinot Blanc",null,12.50%,75cl,7.95
1671144744-6738,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/bale-secco-buess-brut/p/3600722,Bâle Secco Buess brut,2022-2025,Schweiz,Basel/Aargau,null,Riesling x Silvaner,Mehr über diesen Wein erfahren,12.50%,75cl,15.95
1671144746-6740,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/bale-secco-buess-brut/p/6384209,Bâle Secco Buess brut,Schweiz,Basel/Aargau,null,Riesling x Silvaner,"Apéritif, Melone und Rohschinken, Scampi gebraten oder grilliert mit Knoblauch gewürzt",null,12.50%,37.5cl,9.95
1671144749-6742,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/baccarat-mousseux-rose-brut/p/3170749,Baccarat Mousseux Rosé brut,2022-2025,Schweiz,Genf,null,Expovina 2022: Gold,null,12.50%,75cl,10.95
1671144752-6744,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/asti-docg-dolce-millesimato/p/1003163010,Asti DOCG Dolce Millesimato,2021,2024-2027,Italien,Piemont,Azienda Agricola Orsola,Muscat,7.00%,75cl,6.95
1671144754-6746,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/argovia-aoc-secco-brut-buess-weinbau/p/6658199,Argovia AOC Secco Brut Buess Weinbau,Schweiz,Basel/Aargau,null,Riesling x Silvaner,null,null,12.50%,37.5cl,9.95
1671144757-6748,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/alta-langa-docg-piemonte-millesimato-pas-dose-contratto/p/1018219001,Alta Langa DOCG Piemonte Millésimato Pas Dosé Contratto,2017,2022-2027,Italien,Piemont,"Chardonnay, 
                                Pinot Noir",null,12.50%,75cl,22.95
1671144760-6750,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/alta-langa-docg-piemonte-blanc-de-noir-for-england-pas-dose-contratto/p/1018221002,Alta Langa DOCG Piemonte Blanc de Noir For England Pas Dosé Contratto,2017,2022-2026,Italien,Piemont,Pinot Noir,null,12.00%,75cl,36.95
