web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671141329-5496,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-heida-domaine-jean-rene-germanier/p/1016642001,Valais AOC Heida Domaine Jean-René Germanier,2020,2022-2024,Schweiz,Wallis,Jean-René Germanier,Heida,13.00%,75cl,22.95
1671141332-5498,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-heida-cooperation-wine-provins/p/1015614004,Valais AOC Heida Cooperation Wine Provins,2021,2022-2026,Schweiz,Wallis,Provins,Heida,13.50%,75cl,13.45
1671141335-5500,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-haute-roche-heida/p/1016726002,Valais AOC Haute-Roche Heida,2021,2023-2027,Schweiz,Wallis,Heida,null,13.40%,75cl,17.95
1671141337-5501,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-haute-roche-heida/p/1016726001,Valais AOC Haute-Roche Heida,2020,2022-2026,Schweiz,Wallis,Heida,null,13.40%,75cl,17.95
1671141341-5503,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-rapilles/p/3465206,Valais AOC Fendant Rapilles,2022-2025,Schweiz,Wallis,null,Chasselas,null,12.20%,50cl,5.95
1671141344-5505,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-rapilles/p/3463676,Valais AOC Fendant Rapilles,2022-2025,Schweiz,Wallis,null,Chasselas,null,12.20%,100cl,9.95
1671141347-5507,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-pierrafeu-provins/p/1000380018,Valais AOC Fendant Pierrafeu Provins,2021,2022-2028,Schweiz,Wallis,Provins,Chasselas,12.50%,75cl,8.75
1671141349-5508,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-les-murettes-maison-gilliard/p/1000381019,Valais AOC Fendant Les Murettes Maison Gilliard,2022,2024-2025,Schweiz,Wallis,Maison Gilliard,Chasselas,12.50%,75cl,16.5
1671141352-5510,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-les-moulins/p/1000379019,Valais AOC Fendant Les Moulins,2022,2024-2025,Schweiz,Wallis,-,Chasselas,12.50%,75cl,8.7
1671141355-5512,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-leon-chai-du-baron/p/1018235001,Valais AOC Fendant Leon Chai du Baron,2021,2022-2026,Schweiz,Wallis,Chai du Baron,Chasselas,12.20%,75cl,14.95
1671141357-5513,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-futura-terram/p/1016217001,Valais AOC Fendant Futura Terram,2020,2021-2024,Schweiz,Wallis,Cantine Cellaro,Chasselas,13.50%,75cl,14.95
1671141361-5515,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-domherrenwein/p/1000378017,Valais AOC Fendant Domherrenwein,2021,2021-2026,Schweiz,Wallis,Provins,Chasselas,12.30%,75cl,8.95
1671141364-5517,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-domaines-des-virets/p/1000383018,Valais AOC Fendant Domaines des Virets,2021,2023-2024,Schweiz,Wallis,Coop,Chasselas,12.00%,75cl,7.45
1671141367-5518,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-domaine-des-muses/p/1013827005,Valais AOC Fendant Domaine des Muses,2020,2022-2023,Schweiz,Wallis,Domaine des Muses,Chasselas,12.00%,75cl,18.95
1671141370-5520,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-domaine-des-muses/p/1013827006,Valais AOC Fendant Domaine des Muses,2021,2023-2024,Schweiz,Wallis,Domaine des Muses,Chasselas,12.00%,75cl,18.95
1671141373-5522,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-de-vetroz-les-terrasses/p/1014169006,Valais AOC Fendant  de Vétroz Les Terrasses,2021,2022-2025,Schweiz,Wallis,Jean-René Germanier,Chasselas,12.00%,75cl,14.95
1671141375-5523,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-dame-de-sion/p/1000377018,Valais AOC Fendant Dame de Sion,2021,2023-2024,Schweiz,Wallis,Les Fils de Charles Favre,Chasselas,12.00%,70cl,14.5
1671141378-5525,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-clos-de-cochetta-les-grands-murs-maison-gilliard/p/1016255001,Valais AOC Fendant Clos de Cochetta Les Grands Murs Maison Gilliard,2019,2022-2023,Schweiz,Wallis,Maison Gilliard,Chasselas,12.70%,75cl,19.95
1671141381-5527,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-chanoines-provins/p/1011929011,Valais AOC Fendant Chanoines Provins,2021,2024-2027,Schweiz,Wallis,Provins,Chasselas,11.50%,75cl,8.95
1671141383-5528,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant-caves-du-paradis/p/3463715,Valais AOC Fendant Caves du Paradis,Schweiz,Wallis,Chasselas,null,null,null,12.00%,50cl,5.95
1671141386-5530,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-fendant/p/1013974006,Valais AOC Fendant,2021,2023-2026,Schweiz,Wallis,Chasselas,null,12.00%,75cl,11.95
1671141389-5531,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-favi-assemblage-blanc/p/1013979006,Valais AOC Favi assemblage blanc,2020,2023-2025,Schweiz,Wallis,Les Fils de Charles Favre,Chardonnay,12.90%,75cl,19.95
1671141391-5533,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-domaines-des-virets/p/1012640007,Valais AOC Domaines des Virets,2021,2023-2024,Schweiz,Wallis,Heida,null,13.00%,75cl,14.95
1671141394-5535,weiss,https://www.coop.ch/de/weine/wein-sortiment/weinangebote/vino%3A-schweizer-wein/valais-aoc-dole-blanche-les-clarelles/p/1000334018,Valais AOC Dôle Blanche Les clarelles,2021,2023-2024,Schweiz,Wallis,Provins,Gamay,12.50%,75cl,6.95
1671141397-5536,weiss,https://www.coop.ch/de/weine/wein-sortiment/weinangebote/weinfestival/valais-aoc-dole-blanche-les-bernadettes/p/1000340018,Valais AOC Dôle Blanche Les Bernadettes,2021,2022-2024,Schweiz,Wallis,-,Pinot Noir,12.50%,75cl,8.75
1671141400-5538,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-cuvee-blanche-conviva/p/1014887003,Valais AOC Cuvée Blanche Conviva,2020,2021-2024,Schweiz,Wallis,Conviva,null,13.00%,75cl,12.95
1671141403-5540,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-bibacchus-muscat/p/1000579016,Valais AOC Bibacchus Muscat,2020,2022-2023,Schweiz,Wallis,Les Celliers de Sion,Muscat,12.50%,75cl,13.95
1671141406-5541,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-bibacchus-amigne/p/1000989017,Valais AOC Bibacchus Amigne,2020,2023-2024,Schweiz,Wallis,Les Celliers de Sion,null,12.50%,75cl,15.5
1671141408-5543,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-assemblage-blanc-nez-noir-domaine-rouvinez/p/1017103002,Valais AOC Assemblage Blanc Nez Noir Domaine Rouvinez,2021,2022-2023,Schweiz,Wallis,"Heida,              Petite Arvine,             Riesling",null,13.00%,75cl,19.95
1671141410-5544,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-amigne-de-vetroz-jean-rene-germanier/p/1002160018,Valais AOC Amigne de Vétroz Jean-René Germanier,2021,2024-2029,Schweiz,Wallis,Jean-René Germanier,null,14.00%,75cl,13.95
1671141413-5546,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/valais-aoc-amigne-celliers-de-vetroz/p/1016053001,Valais AOC Amigne Celliers de Vétroz,2019,2022-2023,Schweiz,Wallis,Amigne,null,14.00%,75cl,19.95
1671141416-5548,weiss,https://www.coop.ch/de/weine/wein-sortiment/usa-sauvignon-blanc-unshackled/p/1017352001,USA Sauvignon Blanc Unshackled,2020,2021-2025,USA,null,The Prisoner Wine Company,Sauvignon Blanc,14.50%,75cl,21.5
1671141419-5550,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/urra-di-mare-sicilia-doc/p/1018664001,Urra di Mare Sicilia DOC,2021,2022-2025,Italien,Sizilien,Mandrarossa,Sauvignon Blanc,11.50%,75cl,18.5
1671141422-5551,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trentino-doc-sauvignon-blanc-bottega-vinai-cavit/p/1018635001,Trentino DOC Sauvignon Blanc Bottega Vinai Cavit,2021,2022-2024,Italien,Südtirol/Trentin/Friaul,Cavit,Sauvignon Blanc,13.00%,75cl,11.95
1671141424-5553,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trentino-doc-pinot-grigio-bottega-vinai-cavit/p/1018636001,Trentino DOC Pinot Grigio Bottega Vinai Cavit,2021,2022-2024,Italien,Südtirol/Trentin/Friaul,Cavit,Pinot Gris,13.00%,75cl,11.95
1671141427-5555,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trentino-doc-mueller-thurgau-bottega-vinai-cavit/p/1018637001,Trentino DOC Müller Thurgau Bottega Vinai Cavit,2020,2022-2024,Italien,Südtirol/Trentin/Friaul,Cavit,null,12.00%,75cl,11.5
1671141430-5556,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trentino-doc-mastri-vernacoli-sauvignon-blanc/p/1016102003,Trentino DOC Mastri Vernacoli Sauvignon Blanc,2021,2023-2024,Italien,Südtirol/Trentin/Friaul,Sauvignon Blanc,null,12.50%,75cl,8.95
1671141432-5558,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trentino-doc-gewuerztraminer-bottega-vinai-cavit/p/1018634001,Trentino DOC Gewürztraminer Bottega Vinai Cavit,2020,2022-2023,Italien,Südtirol/Trentin/Friaul,Cavit,Gewürztraminer,13.50%,75cl,12.5
1671141435-5560,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trentino-doc-chardonnay-bottega-vinai-cavit/p/1018625001,Trentino DOC Chardonnay Bottega Vinai Cavit,2021,2022-2024,Italien,Südtirol/Trentin/Friaul,Cavit,Chardonnay,13.00%,75cl,11.5
1671141438-5561,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/trebi-trebbiano-d-abruzzo-doc/p/1018641001,Trebì Trebbiano d'Abruzzo DOC,2020,2022-2023,Italien,Abruzzen,Talamonti,null,12.50%,75cl,8.5
1671141440-5563,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/touraine-aoc-sauvignon-blanc-fournier-pere-et-fils/p/1016245002,Touraine AOC Sauvignon Blanc Fournier Père et Fils,2021,2023-2024,Frankreich,Loire,Fournier Père et Fils,Sauvignon Blanc,13.00%,75cl,12.5
1671141443-5564,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/toscana-igt-vermentino-poggio-ai-ginepri-bianco-tenuta-argentiera/p/1017995001,Toscana IGT Vermentino Poggio ai Ginepri Bianco Tenuta Argentiera,2020,2022-2030,Italien,Toskana,Tenuta Argentiera,Vermentino,12.50%,75cl,20.7
1671141445-5566,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/toscana-igt-vermentino-aqua-di-venus-bianco-ruffino/p/1016762002,Toscana IGT Vermentino Aqua di Venus Bianco Ruffino,2021,2023-2026,Italien,Toskana,Ruffino,Chardonnay,12.50%,75cl,16.95
1671141448-5568,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/toscana-igt-fontanelle-banfi/p/1018174001,Toscana IGT Fontanelle Banfi,2019,2019-2024,Italien,Toskana,Castello Banfi,null,13.00%,75cl,23.5
1671141450-5570,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/toscana-igt-bianco-villa-antinori/p/1001660017,Toscana IGT Bianco Villa Antinori,2021,2023-2024,Italien,Toskana,Marchesi Antinori,Chardonnay,12.00%,75cl,11.95
1671141453-5571,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/toscana-doc-vermentino-maremma-bio/p/1018578001,Toscana DOC Vermentino Maremma BIO,2021,2022-2024,Italien,Toskana,Cantina La Selva,Vermentino,14.00%,75cl,18.5
1671141455-5573,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/torrontes-ojo-de-agua-dieter-meier/p/1017936001,Torrontes Ojo de Agua Dieter Meier,2021,2022-2025,Argentinien,Mendoza,Ojo de Agua von Dieter Meier,null,12.50%,75cl,17.5
1671141458-5575,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-vinattieri-bianco/p/1010374005,Ticino DOC Vinattieri Bianco,2020,2022-2024,Schweiz,Tessin,Zanini,Chardonnay,13.00%,75cl,29.95
1671141461-5576,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-vallombrosa-bianco-tamborini/p/1014917004,Ticino DOC Vallombrosa Bianco Tamborini,2021,2023-2024,Schweiz,Tessin,Tamborini,Chardonnay,13.00%,75cl,18.5
1671141464-5578,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/ticino-doc-merlot-bianco-terre-di-gudo/p/1016585004,Ticino DOC Merlot Bianco Terre di Gudo,2021,2023-2023,Schweiz,Tessin,Tamborini,Merlot,13.00%,50cl,9.5
