web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671142698-6101,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/ticino-doc-merlot-rosato-bucaneve/p/1016303002,Ticino DOC Merlot Rosato Bucaneve,2021,2022-2024,Schweiz,Tessin,Cantina Giubiasco,Merlot,12.50%,75cl,13.5
1671142700-6103,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/thurgau-aoc-pinot-noir-saxer-s-oeil-de-perdrix/p/1017503001,Thurgau AOC Pinot Noir Saxer's Oeil de Perdrix,2020,2020-2022,Schweiz,Ostschweiz,Weingut Saxer,Pinot Noir,14.00%,70cl,17.5
1671142703-6105,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/tavel-aoc-rose-chateau-d-aqueria/p/1000756018,Tavel AOC Rosé Château d'Aquéria,2021,2023-2025,Frankreich,Provence,Château d'Acquéria,Grenache,14.00%,75cl,14.95
1671142706-6107,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/syrah-rose-la-sensuelle-pays-d-oc-igp/p/1007760014,Syrah Rosé La Sensuelle Pays d'Oc IGP,2021,2021-2024,Frankreich,Languedoc-Roussillon,Syrah,null,13.50%,75cl,5.5
1671142709-6109,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/steiermark-dac-rose-retro-mustergamlitz/p/1017840001,Steiermark DAC Rosé Retro Muster.Gamlitz,2021,2022-2025,Österreich,Steiermark,diverse Sorten,null,12.50%,75cl,8.95
1671142712-6111,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/schaffhausen-aoc-hallauer-pinot-noir-rose/p/1000743017,Schaffhausen AOC Hallauer Pinot Noir Rosé,2021,2023-2024,Schweiz,Ostschweiz,-,Pinot Noir,12.50%,75cl,8.95
1671142716-6113,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/sancerre-aoc-pinot-noir-le-comte-de-charme-laporte/p/1017782001,Sancerre AOC Pinot Noir Le Comte de Charme Laporte,2021,2022-2025,Frankreich,Loire,DOMAINE LAPORTE,Pinot Noir,13.50%,75cl,21.5
1671142720-6115,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/saint-chinion-aop-clos-du-vent-rose-chateau-cazal-viel/p/1014982003,Saint Chinion AOP Clos du Vent Rosé Château Cazal Viel,2020,2023-2026,Frankreich,Languedoc-Roussillon,Château Cazal Viel,Grenache,12.50%,75cl,13.5
1671142723-6117,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/round-hill-rose-white-zinfandel/p/1000757017,Round Hill Rosé White Zinfandel,2021,2023-2026,USA,null,Round Hill Vineyards & Cellars,Zinfandel,10.50%,75cl,9.5
1671142726-6120,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-vom-kiesel-edition-peter-keller-weingut-strehn/p/1016517001,Rosé vom Kiesel Edition Peter Keller Weingut Strehn,2020,2022-2023,Österreich,Burgenland,"Cabernet Sauvignon, 
                                Blaufränkisch, 
                                Merlot, 
                                Syrah",null,13.00%,75cl,19.95
1671142729-6122,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-vin-de-pays-mediterranee-igp-domaine-de-l-isle-st-pierre/p/1000734018,Rosé Vin de Pays Méditerranée IGP Domaine de L'Isle St Pierre,2021,2023-2024,Frankreich,Languedoc-Roussillon,"Cabernet Franc, 
                                Petit Verdot, 
                                Merlot, 
                                Tannat",null,12.50%,75cl,5.95
1671142732-6124,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-syrah-pays-d-oc-igp-bag-in-box/p/6750082,Rosé Syrah Pays d'Oc IGP Bag in Box,null,null,Frankreich,Languedoc-Roussillon,Syrah,null,12.50%,300cl,9.95
1671142735-6126,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-mediteranee-igp-brise-d-ete/p/1018211001,Rosé Méditeranée IGP Brise d'Été,2021,2022-2025,Frankreich,null,diverse Sorten,null,12.00%,75cl,11.5
1671142737-6128,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-listel-grain-de-gris-terres-du-midi-igp/p/1000744017,Rosé Listel Grain de Gris Terres du Midi IGP,2021,2022-2024,Frankreich,Languedoc-Roussillon,Domaine Listel,Grenache,12.50%,75cl,6.75
1671142741-6130,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-listel-grain-de-gris-terres-du-midi-igp/p/6706609,Rosé Listel Grain de Gris Terres du Midi IGP,null,2022-2024,Frankreich,Languedoc-Roussillon,"Grenache, Cinsault, 
                                Merlot",null,11.50%,37.5cl,3.95
1671142744-6132,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-gris-d-argens-igp-var/p/6704081,Rosé Gris d'Argens IGP Var,null,null,Frankreich,Provence,Grenache,null,0.00%,75cl,5.95
1671142747-6134,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-galic-kroatien/p/1017538001,Rosé Galic Kroatien,2021,2022-2024,null,null,"Cabernet Sauvignon, 
                                Merlot, 
                                Pinot Noir",null,12.00%,75cl,17.5
1671142750-6136,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/rose-flamingo-ribera-del-duero-san-cristobal/p/1014816003,Rosé Flamingo Ribera del Duero San Cristobal,2020,2022-2023,Spanien,Ribera del Duero,Marqués de Vargas,Tempranillo,13.50%,75cl,15.95
