typ,wein_name,land,region,produzent,rebsorte,alkohol,inhalt_cl,anzahl_fl,jahrgang,prime_start,prime_end,preis_chf,preis_cl
rot,Aglianico del Taburno DOC Riserva,Italien,Kampanien,La Fortezza,Aglianico,14.0,75.0,1,2012,2022,2027,27.5,0.37
rot,Aglianico del Taburno DOCG,Italien,Kampanien,La Fortezza,Aglianico,13.5,75.0,1,2018,2022,2027,18.5,0.25
rot,Aglianico Beneventano IGT,Italien,Kampanien,Vinosia,Aglianico,13.0,75.0,1,2020,2022,2023,12.5,0.17
rot,Acrux Colchagua Valley Viña Sutil,Chile,,Viña Sutil,Cabernet Sauvignon,14.0,75.0,1,2019,2023,2026,19.5,0.26
rot,Abruzzo DOC Montepulciano Prope Velenosi Vini,Italien,Abruzzen,Velenosi Vini,Montepulciano,14.0,75.0,1,2019,2022,2025,13.5,0.18
rot,Abruzzen Montepulciano d'Abruzzo DOC Jorio Umani Ronchi,Italien,Abruzzen,Montepulciano,,13.5,75.0,1,2019,2019,2024,14.5,0.19
rot,Aargau AOC Schinznacher Blauburgunder Auslese Pfauenauge,Schweiz,Basel/Aargau,Weinbaugenossenschaft Schinznach-Dorf,Pinot Noir,14.2,75.0,1,2019,2022,2023,13.5,0.18
rot,Aargau AOC Pinot Noir nice to meet you,Schweiz,Basel/Aargau,Weinbaugenossenschaft Döttingen,Pinot Noir,14.5,75.0,1,2020,2022,2025,15.95,0.21
rot,Aargau AOC Pinot Noir Fortuna Herrenberg Weinstern Wettingen,Schweiz,Basel/Aargau,Weinstern Wettingen,Pinot Noir,13.0,75.0,1,2019,2022,2025,16.5,0.22
rot,Aargau AOC Pinot Noir Besserstein,Schweiz,Basel/Aargau,,Pinot Noir,13.0,75.0,1,2020,2024,2027,16.95,0.23
rot,Aargau AOC Pinot Noir Besserstein,Schweiz,Basel/Aargau,,Pinot Noir,13.0,75.0,1,2018,2022,2025,16.95,0.23
rot,Aargau AOC Cuvée Finesse Wiler Trotte,Schweiz,Basel/Aargau,,"Regent, Garanoir, Cabernet Dorsa",13.0,50.0,1,2020,2023,2024,13.5,0.27
rot,Aargau AOC Blauburgunder Rohrdorfer,Schweiz,Basel/Aargau,,Pinot Noir,13.5,75.0,1,2020,2022,2025,15.0,0.2
rot,Aargau AOC Blauburgunder Falkenkönig Weinkeller zum Stauffacher,Schweiz,Basel/Aargau,,Pinot Noir,13.0,75.0,1,2020,2022,2025,9.95,0.13
rot,Aargau AOC Assemblage Rot Vindonissa-Wy Ruber Weinbau Hartmann,Schweiz,Basel/Aargau,,"Pinot Noir, Garanoir",13.0,75.0,1,2020,,,18.95,0.25
rot,19 Crimes The Uprising South Eastern Australia,Australien,,,"Cabernet Sauvignon, Petite Syrah, 
                                Merlot",14.0,75.0,1,2020,2022,2028,13.95,0.19
rot,19 Crimes The Deported Red Red blend Coffee South Eastern Australia,Australien,,,Cabernet Sauvignon,13.0,75.0,1,,2022,2025,13.95,0.19
rot,19 Crimes The Banished Dark Red South Eastern Australia,Australien,,,Grenache,13.5,75.0,1,2020,2022,2025,14.5,0.19
rot,19 Crimes Red Wine South Australia,Australien,,,Cabernet Sauvignon,13.5,75.0,1,2020,2022,2024,9.95,0.13
rot,19 Crimes Chard Chardonnay,Australien,Chardonnay,,,13.5,75.0,1,2021,2023,2026,9.5,0.13
rot,Basel-Landschaft AOC Primus B Pinot Noir,Schweiz,Basel/Aargau,Buess Weinbau,Pinot Noir,13.0,70.0,1,2021,2023,2024,11.5,0.16
rot,Basel-Landschaft AOC Primus B Pinot Noir,Schweiz,Basel/Aargau,Buess Weinbau,Pinot Noir,13.0,70.0,1,2019,2022,2025,11.5,0.16
rot,Basel-Landschaft AOC Pinot Noir Barrique Classic Klushof,Schweiz,Basel/Aargau,Klushof,Pinot Noir,14.3,75.0,1,2018,2023,2025,22.0,0.29
rot,Basel-Landschaft AOC Maispracher Sunneburg,Schweiz,Basel/Aargau,Buess Weinbau,Pinot Noir,13.5,70.0,1,2020,2023,2025,15.5,0.22
rot,Basel-Landschaft AOC Maispracher Pinot Noir,Schweiz,Basel/Aargau,,Pinot Noir,13.5,75.0,1,,2022,2025,12.95,0.17
rot,Basel-Landschaft AOC Maispracher Auslese Buess Weinbau,Schweiz,Basel/Aargau,,Pinot Noir,13.8,70.0,1,2019,,,18.95,0.27
rot,Basel-Landschaft AOC Klushof Schalberger Pinot Noir,Schweiz,Basel/Aargau,Klushof,Pinot Noir,12.8,75.0,1,2021,2022,2025,13.95,0.19
rot,Basel-Landschaft AOC Klushof Schalberger Pinot Noir,Schweiz,Basel/Aargau,Klushof,Pinot Noir,12.8,75.0,1,2018,2022,2023,13.95,0.19
